FRAMEWORK          HELLO     PARAM     DEEP      AFTER_DEEP 
apiary-1.4.3       34672.67  27446.35  32039.40  36325.20   
wai-routes-0.7.0   37602.15  22660.11  31865.25  39613.96   
Spock-0.7.9.0      28321.23  23934.21  26849.23  29205.54   
yesod-core-1.4.10  24462.33  21083.65  23688.00  28186.62   
scotty-0.9.1       28552.41  18326.25  2638.84   9818.50    
