FRAMEWORK           HELLO     PARAM     DEEP      AFTER_DEEP 
apiary-1.1.1        52409.01  42149.52  48054.33  55067.85   
yesod-core-1.4.3.1  50570.08  42072.97  42463.33  52852.78   
Spock-0.7.4.0       45461.93  38571.19  42320.98  47458.84   
scotty-0.9.0        46735.32  29034.55  4744.13   16226.90   
